player_id,player,position,team,raw_projection,adjusted_projection,method,as_of,note
00-0038997,Josh Downs,WR,,92.5,109.6,wr_games_weighted_ppg_x_16_5,2026-07-26,Expanded Indianapolis opportunity after confirmed receiver departures
00-0039894,Xavier Worthy,WR,,84.0,131.0,wr_games_weighted_ppg_x_16_5,2026-07-26,Healthy-rate scenario after a 14-game injury-disrupted season
00-0039915,Ladd McConkey,WR,,153.1,174.7,wr_games_weighted_ppg_x_16_5,2026-07-26,Healthy-rate scenario with an established role earning receptions
00-0039916,Ricky Pearsall,WR,,66.3,0.0,wr_player_specific_availability_scenario,2026-08-03,Season-ending knee surgery with placement on injured reserve before the season
00-0039919,Rome Odunze,WR,,85.0,125.0,wr_player_specific_role_scenario,2026-07-27,Availability-neutralized role scenario after a five-game absence in a shared receiver room
00-0038559,Michael Wilson,WR,,115.5,129.4,wr_player_specific_role_scenario,2026-07-27,Probability-weighted role scenario reflecting a healthy teammate's return to the receiver room
00-0038542,Bijan Robinson,RB,,208.2,248.2,rb_measured_compression_plus_18,2026-07-26,Conservative measured-compression overlay for a confirmed lead back
00-0038597,Chase Brown,RB,,198.8,219.6,rb_measured_compression_plus_18,2026-07-26,Conservative measured-compression overlay for a confirmed lead back
00-0039040,De'Von Achane,RB,,204.1,211.6,rb_measured_compression_plus_18,2026-07-26,Conservative measured-compression overlay for a confirmed lead back
00-0039139,Jahmyr Gibbs,RB,,234.6,255.2,rb_measured_compression_plus_18,2026-07-26,Conservative measured-compression overlay after a verified bell-cow role change
00-0036997,Javonte Williams,RB,,157.3,180.9,rb_measured_compression_plus_18,2026-07-26,Conservative measured-compression overlay for a confirmed lead back
00-0036223,Jonathan Taylor,RB,,177.8,195.8,rb_measured_compression_plus_18,2026-07-26,Conservative measured-compression overlay for a confirmed lead back
00-0038134,Kenneth Walker III,RB,,159.1,178.2,rb_measured_compression_plus_18,2026-07-26,Conservative measured-compression overlay for a credible lead role
00-0039165,Zach Charbonnet,RB,,99.6,63.2,rb_player_specific_availability_scenario,2026-07-27,Reduced availability scenario after January ACL surgery and a training-camp PUP placement
00-0038935,Brenton Strange,TE,,67.8,95.0,te_player_specific_role_scenario,2026-07-26,Prior production preserved without blanket prorating after an injury-shortened season
00-0033288,George Kittle,TE,,127.5,105.0,te_player_specific_availability_scenario,2026-07-26,Base availability scenario following Achilles surgery and Active PUP placement
00-0040584,Gunnar Helm,TE,,47.5,70.0,te_player_specific_role_scenario,2026-07-26,Rookie production preserved with a verified path to expanded receiving work
00-0037838,Isaiah Likely,TE,,50.6,95.0,te_player_specific_role_scenario,2026-07-26,Verified move from a secondary role to New York's lead receiving tight end opportunity
00-0039847,Theo Johnson,TE,,90.8,75.0,te_player_specific_role_scenario,2026-07-26,Paired workload reduction after New York added Isaiah Likely
00-0039065,Sam LaPorta,TE,,97.9,134.2,te_player_specific_availability_scenario,2026-07-27,Availability scenario after back surgery with a cleared but load-managed workload
00-0035229,T.J. Hockenson,TE,,59.4,104.6,te_player_specific_role_scenario,2026-07-27,Role scenario for a confirmed lead receiving tight end after two reduced seasons
00-0040189,Oronde Gadsden II,TE,,78.9,109.0,te_player_specific_role_scenario,2026-07-27,Conservative role scenario in a crowded tight end room after a productive rookie season
00-0034753,Mark Andrews,TE,,97.4,117.1,te_player_specific_role_scenario,2026-07-27,Role scenario weighing vacated tight end work against an age-30 production decline
00-0037834,Brock Purdy,QB,,162.5,285.0,qb_player_specific_availability_scenario,2026-07-26,Healthy confirmed starter after a nine-game season
00-0040691,Jaxson Dart,QB,,233.5,270.0,qb_player_specific_role_scenario,2026-07-26,Modest second-year increase for a confirmed starter with added designed-run concepts
00-0039910,Jayden Daniels,QB,,145.8,285.0,qb_player_specific_availability_scenario,2026-07-26,Healthy confirmed starter after a seven-game injury season
00-0036442,Joe Burrow,QB,,257.1,300.0,qb_player_specific_availability_scenario,2026-07-26,Healthy established starter after an eight-game season
00-0034796,Lamar Jackson,QB,,217.3,315.0,qb_player_specific_availability_scenario,2026-07-26,Healthy established starter after a shortened season
00-0038128,Malik Willis,QB,,20.4,220.0,qb_player_specific_role_scenario,2026-07-26,Verified move from backup production to Miami's starting role
00-0036971,Trevor Lawrence,QB,,230.5,285.0,qb_player_specific_role_scenario,2026-07-26,Healthy established starter whose raw projection remained below the pre-set review trigger
00-0040743,Tyler Shough,QB,,114.3,215.0,qb_player_specific_role_scenario,2026-07-26,Confirmed second-year starter after a partial first season
00-0035228,Kyler Murray,QB,,125.9,186.0,qb_joint_starter_probability_scenario,2026-07-27,Joint Minnesota starter-probability scenario; sixty percent weight on the starting role
00-0039923,J.J. McCarthy,QB,,115.9,116.2,qb_joint_starter_probability_scenario,2026-07-27,Joint Minnesota starter-probability scenario; forty percent weight on the starting role
00-0033873,Patrick Mahomes,QB,,272.9,286.0,qb_player_specific_availability_scenario,2026-07-27,Availability and mobility weighted scenario in the first season after ACL and LCL surgery
00-0035710,Daniel Jones,QB,,232.4,239.3,qb_player_specific_availability_scenario,2026-07-27,Availability and mobility weighted scenario in the first season after Achilles surgery
00-0041029,Jordyn Tyson,WR,,78.7,149.5,wr_player_specific_role_scenario,2026-07-27,Feature second receiver scenario with lead-receiver upside in a two-man room
00-0041047,Chris Brazzell,WR,,23.6,55.6,wr_player_specific_role_scenario,2026-07-27,First-team rotation role scenario after a thousand-yard final college season
00-0041525,Chris Bell,WR,,38.4,24.3,wr_player_specific_availability_scenario,2026-07-27,Reduced availability scenario after a November knee injury and non-football injury list placement
00-0041438,Carnell Tate,WR,,102.9,138.4,wr_top_pick_compression_scenario,2026-07-27,Measured top-of-draft rookie compression for an uncontested lead outside role
00-0041035,De'Zhaun Stribling,WR,,102.6,99.3,wr_player_specific_role_scenario,2026-07-27,Conservative rotation scenario behind an established veteran receiver room
00-0041032,Kenyon Sadiq,TE,,56.6,77.3,te_player_specific_role_scenario,2026-07-27,Rotational receiving role in a multiple tight end scheme after offseason surgery cost him spring work
00-0041027,Jeremiyah Love,RB,,153.1,199.0,rb_player_specific_role_scenario,2026-07-27,Lead-back role scenario for a top-three selection in a rebuilt backfield
00-0041512,Jadarian Price,RB,,145.1,172.7,rb_player_specific_role_scenario,2026-07-27,Workhorse role scenario with the veteran room depleted by free agency and a recovery absence
00-0041104,Demond Claiborne,RB,,5.4,21.3,rb_player_specific_role_scenario,2026-07-27,Rotational third running back role scenario limited by pass-protection and ball-security work
00-0035719,Deebo Samuel Sr.,WR,SF,93.4,120.0,wr_player_specific_role_scenario,2026-08-03,Confirmed signing into a receiver room reduced by a season-ending injury
